Container Description,Container Type,Genres,Artists,Play Count,Duration_Hours
Type,PLAYLIST,"African, Afrobeats, Alternative, Anime, Bollywood, Dance, Hip Hop/Rap, Indian, Indian Pop, K-Pop, Music, Pop, R&B/Soul","Amitabh Bhattacharya, Ammy Virk, Arijit Singh, BTS, Bad Boy Timz, Bunty Bains, Cherry Bullet, GoldLink, IZ*ONE, Jonita Gandhi, Kalan.FrFr, MIYEON, Red Velvet, Rema, Sachin-Jigar, Simiran Kaur Dhadli, Skylar Grey, The Weeknd, Tinashe, WOOAH, Young Jonn, halca",20,0.47540055555555555
Type,PLAYLIST,"African, Afrobeats, Alte, Anime, Bollywood, Dance, Electronic, Hip Hop/Rap, Hip-Hop, Indian, Indian Pop, K-Pop, Music, Pop, Punjabi, R&B/Soul, Regional Indian, Soundtrack, World","AP Dhillon, Aden, Amber, Amitabh Bhattacharya, Arijit Singh, Asake, BINI, BNXN, Bad Boy Timz, Badshah, Cherry Bullet, Darshan Raval, DreamNote, FUNKIST, Genezio, ILLIT, JO YURI, Jasleen Royal, Jassa Dhillon, Justice, Kanishk Seth, Kavita Seth, Kep1er, Krept & Konan, PARTYNEXTDOOR, Prakriti Kakar, Preetinder, Prototype, QARAN, ROLE MODEL, Rajat Nagpal, Red Velvet, Rema, STAYC, Sachin-Jigar, Shubh, Tame Impala, Tems, The Weeknd, Tiakola, Tory Lanez, WINNER, WOOAH, pH-1",42,0.9538247222222223
Type,PLAYLIST,"African, Afro House, Afro-Beat, Afro-Pop, Afrobeats, Alte, Anime, Bollywood, Dance, Electronic, Hip Hop/Rap, Indian, Indian Pop, K-Pop, Latin, Latin Urban, Music, Pop, R&B/Soul, Regional Indian, Soundtrack, Telugu, UK Hip Hop","AP Dhillon, Amitabh Bhattacharya, Ammy Virk, Anirudh Ravichander, Anuel AA, Arijit Singh, Ayanfe Viral, BNXN, BTS, Bunty Bains, Cherry Bullet, Drake, DreamNote, EVAN GIIA, FUNKIST, Fireboy DML, Hasan Raheem, IP Singh, IZ*ONE, Inno Genga, JO YURI, JS x YD, Kanye West, Kep1er, Lancey Foux, MEMBA, PARTYNEXTDOOR, Prabh Singh, Pritam, Red Velvet, Rema, Rihanna, Rooh Sandhu, SUNMI, Sachin-Jigar, Sanjoy, Shilpa Rao, Simiran Kaur Dhadli, Skeeny, Sreeram, Swanand Kirkire, Tems, Tory Lanez, WOOAH, Wiz Khalifa, YoungBoy Never Broke Again, ZERB, halca",39,0.8428941666666667
Type,PLAYLIST,"African, Afrobeats, Alternative, Anime, Hip Hop/Rap, J-Pop, K-Pop, Music, Pop, R&B/Soul, Rap","A$AP Rocky, Fireboy DML, Keeqaid, Oskoow, Two Door Cinema Club, WHITE JAM, WOOAH, halca",7,0.28085027777777777
Type,PLAYLIST,"African, Afro-fusion, Bollywood, Contemporary R&B, Dance, Electronic, Electronica, Hardcore Rap, Hip Hop/Rap, Hip-Hop, Indian, Indian Pop, K-Pop, Latin, Latin Urban, Music, Pop, R&B/Soul, Rap, Regional Indian, Rock, Soundtrack, Telugu","Aden, Amber, Amitabh Bhattacharya, Anirudh Ravichander, Antara Mitra, Anuel AA, Arijit Singh, Avvy Sra, BINI, Burna Boy, Cherry Bullet, Drake, Echstacy, Hasan Raheem, Inno Genga, Jasleen Royal, Jhené Aiko, Karan Aujla, MHD, NATTY, Nikhil D'Souza, Pritam, Sachin-Jigar, The Weeknd, WOOAH, fromis_9, pH-1",25,0.7355736111111111
Type,PLAYLIST,"African, Afro House, Afro-Beat, Afrobeats, Alternative, Anime, Bollywood, Contemporary R&B, Dance, Electronic, Electronica, Hardcore Rap, Hip Hop/Rap, Hip-Hop, Indian, Indian Pop, Indie Rock, J-Pop, K-Pop, Latin, Latin Urban, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Rap, Regional Indian, Rock, Soundtrack, UK Hip Hop, World","6LACK, AP Dhillon, Abdul Hannan, Altamash Faridi, Amitabh Bhattacharya, Arijit Singh, Asake, Ayanfe Viral, BINI, BNXN, BOL4, Bad Boy Timz, Bad Bunny, Baloji, Bankulli, Blade Brown, COLL!N, Central Cee, Daniela Lalita, Dave, Dev Negi, Drake, DreamNote, Echstacy, Fimiguerrero, Galileo Galilei, Gazo, Ghetts, Guru Randhawa, Hardy Caprio, Harshdeep, Homixide Gang, IU, IZ*ONE, Intense, JAY1, JS x YD, Jaden, Jamie xx, KAWALA, Kalan.FrFr, Kanye West, Ken Carson, Knucks, Korede Bello, Krept & Konan, Lancey Foux, MIYEON, MYTH & ROID, Manni Sandhu, Manny Norté, Mura Masa, Myke Towers, MØ, Nippa, Not3s, Olamide, Pi’erre Bourne, Preetinder, Pritam, RAC, ROUND TABLE, Raja Kumari, Rajat Nagpal, Rema, Rihanna, Rio Da Yung Og, Rsko, SINN6R, SUNMI, ScHoolboy Q, Seepi Jha, Shadab Faridi, Shenseea, Shreya Ghoshal, Shubh, Skepta, Skread, Sneakbo, Still Fresh, Stormzy, TEDD, TM88, Tegi Pannu, Tiakola, Tion Wayne, Trippy Ja, Tritonal, WOOAH, Wiz Khalifa, Wizkid, Young Jonn, ZERB, ewshem, fromis_9, halca",83,3.4196355555555558
Type,PLAYLIST,"African, Afro-Beat, Afrobeats, Alternative, Bollywood, Dance, Electronic, Hip Hop/Rap, Indian, K-Pop, Latin, Latin Rap, Latin Urban, Music, Pop, R&B/Soul, Rap, Soundtrack, World","Amitabh Bhattacharya, Amitabha Bhattacharya, Antara Mitra, Arijit Singh, Arjun, Asake, Asees Kaur, Ayanfe Viral, BNXN, Bad Boy Timz, Bad Bunny, Beny Jr, Bryson Tiller, Central Cee, Chike, Coi Leray, Dave, Dré Six, Favé, Fimiguerrero, Fireboy DML, GOLDHOUSE, GROUPLOVE, Gazo, HRJXT, Intense, JAY1, JO YURI, Joey Bada$$, Kalan.FrFr, Kehlani, Krept & Konan, Liim's, Lil Tjay, Majid Jordan, Metro Boomin, Mickey Singh, MohBad, Morad, Nafe Smallz, Nasboi, Nikhil D'Souza, Nina Mathur, Pa Salieu, Pozer, Prabh Singh, Pritam, ROLE MODEL, Raghav, Rema, Rooh Sandhu, Ryder, SDM, Sachin-Jigar, Sanjoy, Shilpa Rao, Skepta, Snakehips, Sreeram, Tanishk Bagchi, TeeboFG, The Chainsmokers, The Weeknd, Tiakola, Tory Lanez, Two Door Cinema Club, WINNER, Wizkid, Years & Years, Young Jonn, YoungBoy Never Broke Again, ewshem",56,2.012838611111111
Type,PLAYLIST,"African, Afro-Pop, Afrobeats, Alte, Alternative, Amapiano, Bollywood, Brazilian, Dance, Electronic, Hip Hop/Rap, Hip-Hop, Indian, Indian Folk, J-Pop, K-Pop, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Rap, Regional Indian","8syn, ADAAM, Amitabha Bhattacharya, Arijit Singh, Asake, BNXN, Baby Keem, Bryson Tiller, Central Cee, Dave, Davido, Don Toliver, Drake, Evalyn, Favé, Fimiguerrero, Fireboy DML, Flipz, Galavant, Hardy Caprio, Jassa Dhillon, Jeeti, Kah-Lo, Kairo Keyz, Kep1er, King Von, L2B, Lancey Foux, Lil Durk, Loski, MHD, Manni Sandhu, Mc Brinquedo, Minz, Nippa, One Acen, Only The Family, Pa Salieu, Pheelz, Porter Robinson, Ravi Duggal, Regard, SL, SPINALL, Sachin-Jigar, Steve Aoki, Stormzy, Tegi Pannu, Tems, The Chainsmokers, The Knocks, The Weeknd, Tiakola, Tory Lanez, Tritonal, Two Door Cinema Club, WSTRN, Young Thug, YoungBoy Never Broke Again, mazie, moumoon",49,2.218523888888889
Type,PLAYLIST,"African, Afro-Beat, Afro-Pop, Afrobeats, Bollywood, Dance, Electronic, Hip Hop/Rap, Hip-Hop, Indian, K-Pop, Music, Pop, R&B/Soul, Regional Indian, Soundtrack, Telugu, World","1da Banton, A. R. Rahman, AP Dhillon, Amitabh Bhattacharya, Anirudh Ravichander, Antara Mitra, Anuv Jain, Arijit Singh, BNXN, Bankulli, Bis, Booter Bee, Central Cee, Daniela Lalita, Drake, Future, GOLDHOUSE, Gazo, Genezio, HRJXT, Harshdeep, Homixide Gang, IP Singh, IU, IZ*ONE, Inno Genga, Intense, JO YURI, Javed Ali, K-Trap, KayMuni, Korede Bello, Lost Kings, M1onthebeat, MIYEON, Majid Jordan, Marnz Malone, Mura Masa, Nikhil D'Souza, Not3s, Preetinder, Pritam, Prototype, Rajat Nagpal, Rema, Sabrina Carpenter, Sachin-Jigar, Shreya Ghoshal, Skeeny, Still Fresh, Swanand Kirkire, Tems, Tiakola, Trippy Ja, Tritonal, V.I.C, Wizkid, Years & Years, YoungBoy Never Broke Again, pH-1",50,1.6950705555555556
Type,PLAYLIST,"Dance, Hip Hop/Rap, Indian, K-Pop, Music, Pop, Punjabi, Punjabi Pop, R&B/Soul, Regional Indian, Soundtrack","COLL!N, Cherry Bullet, Coi Leray, DJ Snake, Drake, JO YURI, Koba LaD, L2B, Metro Boomin, Neha Kakkar, Pa Salieu, Parmish Verma, The Chainsmokers",12,0.2749613888888889
