Artist,msPlayed,Duration_Minutes
GAI 荄,2758,0.04596666666666667
GAUPA,447680,7.461333333333333
GIOVANNA,538775,8.979583333333334
GROUPLOVE,118919,1.9819833333333334
Garbage,5912,0.09853333333333333
Gary Clark Jr.,1048,0.017466666666666665
Geek Music,176919,2.94865
Genesis,530,0.008833333333333334
Genitorturers,1130,0.018833333333333334
George Harrison,1596,0.0266
Ghost,5220,0.087
Ghost Coach,5153352,85.8892
Gin Blossoms,904,0.015066666666666667
Girl In a Coma,236360,3.9393333333333334
God Forbid,272115,4.53525
Godsleep,1628,0.027133333333333332
Godsmack,2055931,34.26551666666667
Gojira,3671198,61.18663333333333
Good Tiger,1007049,16.78415
"Goodnight, Texas",250240,4.1706666666666665
Gorillaz,788929,13.148816666666667
Gost,1045,0.017416666666666667
Gravemind,891,0.01485
Graveyard,654,0.0109
Great Master,267646,4.460766666666666
Green Day,131516,2.1919333333333335
Greta Van Fleet,29775,0.49625
Grey Daze,892,0.014866666666666667
Grin,48507,0.80845
Grocery Bag,401854,6.697566666666667
"Grover Washington, Jr.",1298478,21.6413
Guaynaa,19200,0.32
Guns N' Roses,257067,4.28445
Gym Class Heroes,1399,0.023316666666666666
HARU NEMURI,162546,2.7091
HEALTH,3342,0.0557
HIMALAYAS,7367,0.12278333333333333
Halestorm,4932,0.0822
Hardsoul,13719,0.22865
Harvey Danger,1801,0.030016666666666667
Haste The Day,2741,0.04568333333333333
Hawthorne Heights,31300,0.5216666666666666
He Is Legend,2148,0.0358
Head Splitter,631,0.010516666666666667
Heart,4866,0.0811
Heilung,25954,0.43256666666666665
Helion Prime,159830,2.6638333333333333
Helmet,9716,0.16193333333333335
Henret,183943,3.065716666666667
Henri PFR,156322,2.605366666666667
Highly Suspect,504143,8.402383333333333
Hinder,2986,0.04976666666666667
Hippie Death Cult,202666,3.3777666666666666
Hive,194590,3.2431666666666668
Hole,298050,4.9675
Holy Blade,1045005,17.41675
Hoobastank,1200142,20.002366666666667
Hootie & The Blowfish,5859,0.09765
Hotel Ugly,166028,2.7671333333333332
How To Destroy Angels,1716,0.0286
Hozier,63905,1.0650833333333334
Hurt,735,0.01225
Hyper,414007,6.9001166666666665
I Am Ghost,817,0.013616666666666666
I Am Low,401098,6.684966666666667
I Built the Sky,7363,0.12271666666666667
I Killed The Prom Queen,998,0.016633333333333333
I See Stars,10418,0.17363333333333333
IAMDDB,743022,12.3837
IDLES,153266,2.5544333333333333
Ihlo,26721378,445.3563
Ill Niño,1204,0.020066666666666667
Imminence,223198,3.7199666666666666
In Flames,1890,0.0315
Incubus,11507229,191.78715
Infraction,1426,0.023766666666666665
Inhaler,285985,4.766416666666666
Interloper,4534008,75.5668
Interpol,907,0.015116666666666667
Intervals,4180360,69.67266666666667
Ions,766772,12.779533333333333
Iron Maiden,731,0.012183333333333332
Islander,1120,0.018666666666666668
Ismatricule,211937,3.5322833333333334
It Dies Today,1795,0.029916666666666668
J.J. Cale,149598,2.4933
JEMS!,161825,2.6970833333333335
JVLIAH,998,0.016633333333333333
Jack Johnson,3564,0.0594
Jack White,2803,0.04671666666666666
Jakub Tirco,58271,0.9711833333333333
Jalen Ngonda,87686,1.4614333333333334
James Brown & The Famous Flames,8288,0.13813333333333333
Jamie's Elsewhere,1122,0.0187
Jamiroquai,3111,0.05185
Jane's Addiction,8844,0.1474
Jar of Blind Flies,991920,16.532
Jason Gerosa,383608,6.393466666666667
Jason Mraz,308229,5.13715
Jason Richardson,937,0.015616666666666666
Jean-Luc Ponty,35346,0.5891
Jeff Ament,676,0.011266666666666666
Jericco,1392,0.0232
Jerry Cantrell,680,0.011333333333333334
Jet,6837,0.11395
Jethro Tull,2361,0.03935
Jim Sturgess,19625,0.32708333333333334
Jimi Hendrix,1288817,21.480283333333333
Jimmy Eat World,4735,0.07891666666666666
Jinjer,10713380,178.55633333333333
Joe Satriani,2298,0.0383
Joey Valence & Brae,4202,0.07003333333333334
