artistName,msPlayed
Red Sun Rising,2155
Redbone,872
Reflection,238719
Refused,1446174
Reignwolf,684344
Rell Moore,640700
Rendezvous Point,269108
Resorte,16045
Rezodrone,1381075
Richie Kotzen,2331
Rick James,748463
Rickshaw Billie's Burger Patrol,457394
Riddarna,241972
Rise Against,9306
Rishloo,1492
Ritchie Valens,2410
Rival Sons,37403
River Simmons,183923
Rob Zombie,881997
Ron Gallo,603879
Rosa Walton,563709
Roy Ayers Ubiquity,15634
Roy Orbison,1352
Royal Blood,14764718
Run The Jewels,91222
Rush,209263
SAMURAI,7417199
SICK PUPPIES,2312
Sade,14075
Saint Motel,1087
Sakoya,368778
Saliva,372671
Samara Cyn,139849
Santana,2457054
Saosin,1422
Saults,867982
Saving Abel,5702
Saybia,685
Scandroid,353651
Scorpions,3294
Seal,41732
Seals and Crofts,1994
Seether,60074
Semisonic,1001
Sepultura,1006
Seven Mary Three,247188
Sevendust,285660
Shadow of Intent,1656517
Shadows Chasing Ghosts,1020
Shadows Fall,1077477
Shallow Rising,197911
She Wants Revenge,1370
Shinedown,1459860
Shokran,269264
Shores Of Lunacy,288263
Shrezzers,2965
Silex,4029597
Silverchair,22883
Silverstein,173000
Silversun Pickups,351949
Simple Minds,1528
Sister Hazel,1417
Sisters of Mercy,296214
Sixx:A.M.,431776
Skid Row,14824
Skin On Flesh,587571
Slayer,5540
Slipknot,3491380
Slomosa,467054
Smash Mouth,1643
Smile Empty Soul,12032
Snake River Conspiracy,2702
Snow Patrol,376191
Soen,707533
Soft Cell,694
Soilwork,24368
Sonic Syndicate,1626
Sons of Arrakis,227768
Sonya Belousova,190306
Soot,590
Soulfly,1494
Soundgarden,1421141
Spacehog,3583
Spin Doctors,4032
Spineshank,7991
Spiral Drive,250400
Spirit Machines,1077118
Spirit Mother,523800
Spiritbox,1999767
Sponge,3676
Sports,1238
St. Aurora,65463
Staind,3464076
Starchild,241243
Static-X,2608510
Steely Dan,382773
Stereomud,198573
Stereophonics,2326
Stevie Nicks,329884
Stevie Ray Vaughan,392725
Stevie Wonder,283391
Stick To Your Guns,215436
Stone Sour,2750276
Stone Temple Pilots,11343805
Story Of The Year,6067
Strata,216986
Strawhorse,197333
Stuck in the Sound,215408
Styx,443175
Sublime,19428
Submersed,7561
Sugar Ray,12471
Suicidal Tendencies,543
Sunscourge,240400
Sunshine Spazz,613485
Supergrass,1893
Superheaven,9475
Surf Curse,4890
Switchfoot,3797
Sylosis,585065
System Of A Down,10348844
THERAST,682
TM Juke,532287
TOOL,4382572
TOTO,1040594
TRUSTcompany,2551
TV Girl,432799
TV On The Radio,486944
Tal Bachman,1012
Talking Heads,779
Tame Impala,95488
Taproot,1505
Tears For Fears,875382
Ted Nugent,637702
Teen Mortgage,429838
Temple Of The Dog,183552
Ten Years After,1517601
Tenacious D,850
TesseracT,18859512
Textures,857314
Thank You Scientist,115376
The Acacia Strain,245484
The All-American Rejects,5234
The Amazons,208474
The Amity Affliction,5457
The Animals,3954
The Apex Theory,623967
The Arcs,3417
The Backseat Lovers,8495066
The Beach Boys,1610
The Beta Machine,247265
The Black Crowes,3169
The Black Keys,8683331
The Black Ravines,851267
The Bravery,1820
The Browning,317076
The Cars,895
The Chordettes,860
The Contortionist,789720
The Crystal Method,1001
The Cult,11675
The Cure,414267
The Darkness,1786
The Dead Weather,215093
The Devil Wears Prada,3867
The Dillinger Escape Plan,840857
The Doobie Brothers,1032936
The Doors,1972229
The Family Rain,132480
The Fearless Flyers,304212
The Flys,1588
The Foundations,13158
The Fratellis,788962
The Fray,7189
The Ghost Inside,911172
The Goo Goo Dolls,295273
The Good Son,191013
The Great Machine,234434
The Growlers,235692
The Heavy,1712
The Hollies,385091
The Home Team,34568
The Human Abstract,221494
The Jackson 5,1119
The Kilans,525900
The Killers,338139
The Kooks,735
